date,open,high,low,close,volume
01/09/2015,32.7569,32.8142,32.2568,32.3552,4573512
02/09/2015,33.3143,33.4127,32.9266,33.3143,4337343
03/09/2015,33.593,33.6586,33.1749,33.2979,2427002
04/09/2015,32.5601,32.6749,32.3388,32.5355,2254978
08/09/2015,33.5766,33.6668,32.8552,33.2569,5639394
09/09/2015,33.3635,33.4209,32.5847,32.6667,3565656
10/09/2015,32.7897,33.1913,32.7405,32.9864,3261350
11/09/2015,32.847,33.0192,32.7774,33.0028,2145925
14/09/2015,32.6011,32.7487,32.4454,32.6093,2336795
15/09/2015,32.4863,32.8552,32.3962,32.8224,4482278
16/09/2015,32.8962,33.3307,32.7815,33.2159,2802846
17/09/2015,32.8716,33.4536,32.8142,33.1257,3042611
18/09/2015,32.7077,33.0438,32.6011,32.7651,3096624
21/09/2015,33.0274,33.1176,32.5027,32.6339,4097718
22/09/2015,31.7568,31.9125,31.4863,31.7158,6773672
23/09/2015,32.0929,32.1339,31.765,31.8306,2690705
24/09/2015,31.7322,31.9043,31.4207,31.7978,2924356
25/09/2015,32.2978,32.3388,31.3305,31.5436,3717084
28/09/2015,31.5682,31.5682,30.687,30.8059,4591229
29/09/2015,30.6665,31.0395,30.5272,30.7895,4686141
30/09/2015,31.2813,31.5477,31.2239,31.5191,2980120
01/10/2015,31.9863,32.0765,31.3797,31.7568,3293065
02/10/2015,31.6502,32.3798,31.4617,32.3798,3400722
05/10/2015,32.4945,32.7733,32.4863,32.7569,2712720
06/10/2015,32.7733,32.8306,32.3986,32.6011,2659884
07/10/2015,32.5355,32.6726,32.2208,32.5601,3704040
08/10/2015,32.4044,32.9208,32.3716,32.9208,2780411
09/10/2015,32.8634,33.0561,32.6749,32.97,5245193
12/10/2015,32.7897,33.2733,32.7077,33.1012,3985229
13/10/2015,33.0438,33.3635,32.8224,32.8798,12908339
14/10/2015,33.1503,33.4208,33.1176,33.2979,3182388
15/10/2015,33.6094,34.0521,33.4864,34.0521,3338526
16/10/2015,33.8963,34.4045,33.8963,34.3963,3068967
19/10/2015,34.1996,34.4127,33.9865,34.216,3869702
20/10/2015,34.38,34.3881,33.6422,33.7406,3495342
21/10/2015,33.6668,33.716,33.2159,33.4946,4436358
22/10/2015,33.9045,34.0644,33.6545,33.9701,3173762
23/10/2015,34.339,34.6587,34.3055,34.5193,3208721
26/10/2015,34.5685,34.7629,34.3963,34.4865,2760017
27/10/2015,34.3472,34.5726,34.1422,34.2242,3711635
28/10/2015,35.4784,35.8036,35.2817,35.6833,7926771
29/10/2015,35.1423,35.2489,34.9456,35.0767,8541924
30/10/2015,35.4046,35.6424,35.2161,35.2981,5633574
